#,Company,Location,# Laid Off,Date,%,Industry
432,Sorabel,Jakarta     Non,,7/23/2020,100%,Retail
433,LinkedIn,SF Bay Area,960,7/21/2020,6%,Recruiting
434,Lighter Capital,Seattle,22,7/20/2020,49%,Finance
435,Curefit,Bengaluru,120,7/17/2020,,Fitness
436,Snaptravel,Toronto     No,,7/16/2020,,Travel
437,Optimizely,SF Bay Area,60,7/15/2020,15%,Marketing
438,Skyscanner,Edinburgh,300,7/14/2020,20%,Travel
439,Vox Media,Washingt…,,7/14/2020,,Media
440,Yelp,SF Bay Area,63,7/13/2020,,Consumer
441,Bizongo,Mumbai     No,140,7/10/2020,,Logistics
442,Zilingo,Singapore,100,7/9/2020,12%,Retail
443,PaySense,Mumbai     No,40,7/9/2020,,Finance
444,Funding Circle,SF Bay Area,85,7/8/2020,,Finance
445,OnDeck,New York …,,7/8/2020,,Finance
446,The Wing,New York …,56,7/1/2020,,Real Estate
447,Sharethrough,SF Bay Area,18,7/1/2020,,Marketing
448,Kongregate,SF Bay Area,12,7/1/2020,,Media
449,Havenly,Denver,5,7/1/2020,,Consumer
450,G2,Chicago,17,6/30/2020,5%,Marketing
451,Hired,SF Bay Area,,6/30/2020,,Recruiting
452,Katerra,SF Bay Area,400,6/29/2020,7%,Construct…
453,Bounce,Bengaluru,130,6/29/2020,22%,Transport…
454,Argo AI,Munich     Non,100,6/29/2020,,Transport…
455,Bossa Nova,SF Bay Area,61,6/29/2020,,Retail
456,New Relic,Portland,20,6/29/2020,,Infrastruc…
457,Engine eCommer…,Fayetteville,,6/28/2020,100%,Retail
458,Byton,SF Bay Area,,6/27/2020,,Transport…
459,Sprinklr,New York …,,6/25/2020,,Support
460,GoDaddy,Austin,451,6/24/2020,6%,Marketing
461,Sonos,New York …,174,6/24/2020,12%,Consumer
462,OYO,Dallas,,6/24/2020,,Travel
463,Gojek,Jakarta     Non,430,6/23/2020,9%,Transport…
464,ScaleFactor,Austin,90,6/23/2020,90%,Finance
465,Dark,SF Bay Area,6,6/23/2020,100%,Product
